name,pack,price,fire_behavior,shield_type,outer_sheath_material,conductor_strand_type,connector_type,sheath_color,awg,core_strands,cross_sectional_area,outer_diameter,attenuation,capacitance,voltage_rating,cable_shape
1m Cat5 Cable Assembly Green,Each (In a Pack of 50),"PHP2,050.925",-,-,PVC,-,-,Green,-,-,-,-,-,-,-,-
10m U/FTP Cat5 Ethernet Cable Assembly Green,Each,"PHP3,040.64",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
1m FTP Cat5 Ethernet Cable Assembly Blue,Each,PHP149.09,-,FTP,PVC,-,-,Blue,-,-,-,-,-,-,-,-
Cat 5 patch cord angledt b/f 5m IP20,Each,"PHP1,793.42",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
500mm F/UTP Cat5 Ethernet Cable Assembly Grey,Each,"PHP1,154.67",-,F/UTP,PVC,-,-,Grey,-,-,-,-,-,-,-,-
"Harting Green PUR Cat5 Ethernet Cable SF/UTP, 50m Unterminated",1 Reel of 50 Metre(s),"PHP14,296.54","Flame Retardant, Halogen Free",SF/UTP,PUR,Stranded,Unterminated,Green,-,7/22 AWG,-,6.7mm,21.3 dB/100m @ 100 MHz,-,-,Twisted Pair
10m U/FTP Cat5 Ethernet Cable Assembly Green,Each,"PHP5,380.08",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
Cat 5 patch cord angled t/f 2m IP20,Each,"PHP1,219.84",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
2m FTP Cat5 Ethernet Cable Assembly Red,Each,PHP176.40,-,FTP,PVC,-,-,Red,-,-,-,-,-,-,-,-
10m U/FTP Cat5 Ethernet Cable Assembly Green,Each,"PHP4,348.19",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
1.5m U/FTP Cat5 Ethernet Cable Assembly Green,Each,"PHP1,221.79",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
1.5m U/FTP Cat5 Ethernet Cable Assembly Green,Each,"PHP2,148.94",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
1.5m U/FTP Cat5 Ethernet Cable Assembly Green,Each,"PHP1,278.17",-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
"Phoenix Contact Blue PUR Cat5 Ethernet Cable SF/UTP, 100m Unterminated",Each,"PHP36,724.87",-,SF/UTP,PUR,-,Unterminated,Blue,-,-,-,-,-,-,-,-
500mm F/UTP Crossover Cat5 Ethernet Cable Assembly Grey,Each,PHP757.19,-,F/UTP,-,-,-,Grey,-,-,-,-,-,-,-,-
