name,pack,price,shield_type,length,sheath_color,conductor_strand_type,outer_sheath_material,awg,strand_num,core_strands,outer_diameter,voltage_rating,attenuation,strand_size,fire_behavior,cross_sectional_area
"CAE Grey Cat6 Cable U/FTP PVC, 100m",1 Reel of 100 Metre(s),"PHP5,481.92",U/FTP,100m,Grey,Stranded,PVC,26 AWG,7,7/26,5.6mm,-,46.9 Db@200 Mhz,26 AWG,-,-
Molex Premise Networks Red 7m Cat6 Ethernet Cable Assembly RJ45,Each,PHP936.28,U/UTP,7m,Red,-,PVC,-,-,-,-,-,-,-,-,-
"RS Pro Grey Cat6 Cable F/UTP PVC, 305m",1 Reel of 305 Metre(s),"PHP20,266.99",F/UTP,305m,Grey,Stranded,PVC,24 AWG,1,1/23,7.4mm,1 kV,≥55 dB,23 AWG,-,-
RS Pro Blue 5m Cat6 Ethernet Cable Assembly RJ45,Each,PHP447.73,U/UTP,5m,Blue,-,LSZH,-,-,-,-,-,-,-,-,-
"RS Pro Cat6 Cable FTP LSZH, PVC Low Smoke Zero Halogen (LSZH), 500m",1 Reel of 500 Metre(s),"PHP22,184.11",FTP,500m,-,Solid,"LSZH, PVC",24 AWG,-,-,6.3mm,-,"2.1 dB @ 1 MHz, 3.8 dB @ 4 MHz, 6 dB @ 10 MHz, 7.6 dB @ 16 MHz, 10.7 dB @ 31.25 MHz, 15.5 dB @ 62.5 MHz, 19.9 dB @ 100 MHz, 33 dB @ 250 MHz",-,Low Smoke Zero Halogen (LSZH),0.2 mm²
"Harting Yellow Cat6 Cable S/FTP PVC, 100m",1 Reel of 100 Metre(s),"PHP32,407.77",S/FTP,100m,Yellow,Stranded,PVC,26 AWG,7,7/26,6.9mm,100 V,3.1 dB/100m @ 1MHz,-,-,0.72 mm²
RS Pro Yellow 500mm Cat6 Ethernet Cable Assembly RJ45,Each,PHP57.00,S/FTP,500mm,Yellow,-,PVC,-,-,-,-,-,-,-,-,-
"RS Pro Cat6 Cable FTP LSZH, PVC Low Smoke Zero Halogen (LSZH), 100m",1 Reel of 100 Metre(s),"PHP4,607.69",FTP,100m,-,Solid,"LSZH, PVC",24 AWG,-,-,6.3mm,-,"2.1 dB @ 1 MHz, 3.8 dB @ 4 MHz, 6 dB @ 10 MHz, 7.6 dB @ 16 MHz, 10.7 dB @ 31.25 MHz, 15.5 dB @ 62.5 MHz, 19.9 dB @ 100 MHz, 33 dB @ 250 MHz",-,Low Smoke Zero Halogen (LSZH),0.2 mm²
"Brand-Rex Purple Cat6 Cable U/UTP LSZH, 305m",1 Reel of 305 Metre(s),"PHP15,781.23",U/UTP,305m,Purple,Solid,LSZH,23 AWG,1,1/23,5.75mm,-,-,-,-,0.26 mm²
Patch cord Cat6 FTP LSZH Blue 15m,Each,PHP883.38,FTP,15m,Blue,-,LSZH,-,-,-,-,-,-,-,-,-
