name,pack,price,length,shield_type,sheath_color,cond_str_type,conn_type,outer_sht_material,core_strands,fire_behav,awg,strand_num,outer_diameter,voltage_rating,cable_shape,cross_sectl_area
"Belden Blue PVC Cat5e Cable U/UTP, 305m Unterminated",1 Reel of 304 Metre(s),"PHP30,825.16",305m,U/UTP,Blue,Stranded,Unterminated,PVC,7/32,-,24 AWG,7,5.59mm,300 V,Twisted Pair,0.22 mm²
"Molex Premise Networks Grey PVC Cat5e Cable U/UTP, 305m Unterminated",1 Box of 305 Metre(s),"PHP5,865.99",305m,U/UTP,Grey,Solid,Unterminated,PVC,-,-,24,-,5mm,-,Twisted Pair,-
"Belden Grey PVC Cat5e Cable U/UTP, 304m Unterminated",1 Reel of 304 Metre(s),"PHP18,540.80",304m,U/UTP,Grey,Stranded,Unterminated,PVC,7/32,-,24,7,5.41mm,300 V,Twisted Pair,0.22 mm²
"Belden Green PVC Cat5e Cable U/UTP, 305m Unterminated",1 Reel of 304 Metre(s),"PHP28,356.80",305m,U/UTP,Green,Stranded,Unterminated,PVC,7/32,-,24,7,5.59mm,300 V,Twisted Pair,0.22 mm²
"2m S/FTP, PUR Cat5e Ethernet Cable Assembly Black",Each,"PHP1,296.26",2m,S/FTP,Black,-,-,PUR,-,-,-,-,-,-,-,-
"2m U/UTP, PVC Cat5e Ethernet Cable Assembly Grey",Each,PHP122.14,2m,U/UTP,Grey,-,-,PVC,-,-,-,-,-,-,-,-
"Belden Orange PVC Cat5e Cable U/UTP, 305m Unterminated",1 Reel of 304 Metre(s),"PHP25,199.26",305m,U/UTP,Orange,Stranded,Unterminated,PVC,7/32,-,24,7,5.59mm,300 V,Twisted Pair,0.22 mm²
"Belden Yellow PVC Cat5e Cable U/UTP, 305m Unterminated",1 Reel of 304 Metre(s),"PHP25,199.26",305m,U/UTP,Yellow,Stranded,Unterminated,PVC,7/32,-,24,7,5.59mm,300 V,Twisted Pair,0.22 mm²
"Belden Black FRNC Cat5e Cable SF/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP20,805.72",305m,SF/UTP,Black,Solid,Unterminated,FRNC,1/24,-,24 AWG,1,-,-,Twisted Pair,0.2 mm²
"RS Pro Purple PVC Cat5e Cable Unshielded, LSZH 305m Unterminated",1 Reel of 305 Metre(s),"PHP10,073.93",305m,Unshielded,Purple,Solid,Unterminated,PVC,8/0.5 mm,Low Smoke Zero Halogen (LSZH),26 AWG,8,5.2mm,-,Twisted Pair,-
"Belden Grey PVC Cat5e Cable U/UTP, 304m Unterminated",1 Reel of 304 Metre(s),"PHP31,691.89",304m,U/UTP,Grey,Stranded,Unterminated,PVC,7/32,-,24 AWG,7,-,300 V,Twisted Pair,0.22 mm²
"3.05m UTP, PVC Cat5e Cable Assembly White",Each,PHP191.58,3.05m,UTP,White,-,-,PVC,-,-,-,-,-,-,-,-
