name,pack,price,coaxial_type,outer_diameter,characteristic_impedance,reel_length,sheath_color,sheath_material,insulation_material,conductor_material,conductor_strand_type,core_strands,number_of_strands,size_of_strands,connector_type,attenuation
"TE Connectivity Black RG400 Coaxial Cable, Low Smoke Zero Halogen (LSZH) Sheath 100m, 50 Ω, 5.08mm OD",1 Reel of 100 Metre(s),"PHP16,613.19",RG400,5.08mm,50 Ω,100m,Black,Low Smoke Zero Halogen (LSZH),Rayfoam,Silver Plated Copper,Stranded,19/32,19,32 AWG,C,"31.3 dB/100m @ 400MHz, 100.7 dB/100m @ 3GHz"
"Times Microwave RG402 Coaxial Cable, Aluminium Sheath 3m, 50 Ω, 3.58mm OD",1 Reel of 3 Metre(s),"PHP2,818.09",RG402,3.58mm,50 Ω,3m,-,Aluminium,PTFE,Silver Plated Copper Clad Steel,Solid,1/0.9,1,0.92 mm,-,"2.1dB/100m@17GHz, 2.18dB/100m@18GHz, 2.26dB/100m@19GHz, 2.34dB/100m@20GHz"
"Times Microwave RG405 Coaxial Cable, Aluminium Sheath 3m, 50 Ω, 2.2mm OD",1 Reel of 3 Metre(s),"PHP2,318.32",RG405,2.2mm,50 Ω,3m,-,Aluminium,PTFE,Silver Plated Copper Clad Steel,Solid,1/0.51 mm,1,0.51 mm,-,"3.23dB/100m@17GHz, 3.34dB/100m@18GHz, 3.46dB/100m@19GHz, 3.57dB/100m@20GHz"
"RS Pro White RG6 Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 6.5mm OD",1 Reel of 100 Metre(s),"PHP1,549.24",RG6,6.5mm,75 Ω,100m,White,Polyvinyl Chloride PVC,Foam PE,Copper Clad Steel,Solid,1/1,1,1 mm,-,5.2 dB/100m @ 100MHz
Hitachi 100m PVC Coaxial Cable RG59/U 6.15mm Outer Dia.,1 Bag of 100 Metre(s),"PHP17,857.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"CAE Groupe Coaxial Cable,",1 Reel of 100 Metre(s),"PHP7,534.20",KX8,10.3mm,75 Ω,100m,Green,Polyvinyl Chloride PVC,PE,Bare Copper,Stranded,7/0.4 mm,7,0.4 mm,BNC,12 dB/100m @ 200MHz
"RS Pro Black RG178PE Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 50 Ω, 1.8mm OD",1 Reel of 100 Metre(s),"PHP7,277.89",RG178PE,1.8mm,50 Ω,100m,Black,Polyvinyl Chloride PVC,PTFE,Silver Plated Copper Clad Steel,Stranded,7/0.1,7,0.1 mm,N,"16.1 dB/100m @ 10MHz, 38 dB/100m @ 50MHz, 52.5 dB/100m @ 100MHz, 75.4 dB/100m @ 200MHz, 108.2 dB/100m @ 400MHz, 147.6 dB/100m @ 700MHz, 164 dB/100m @ 900MHz, 170.6 dB/100m @ 1GHz, 308.3 dB/100m @ 3GHz"
"RS Pro Black RF Coaxial Cable, , 50 Ω",Each,PHP397.76,RF,-,50 Ω,-,Black,-,-,-,-,-,-,-,-,-
"Alpha Wire White Micro Coax Coaxial Cable, 100m, 50 Ω, 1.12mm OD",1 Reel of 100 Metre(s),"PHP28,031.22",Micro Coax,1.12mm,50 Ω,100m,White,-,PFA,Silver Plated Copper,Stranded,7/0.07,7,0.07 mm,-,0.13 dB/m @ 10 MHz
"Mobilemark RF195 Coaxial Cable, , 50 Ω",Each,"PHP1,517.56",RF195,-,50 Ω,-,-,-,-,-,-,-,-,-,-,-
"ITT RG402 Coaxial Cable, Polyvinyl Chloride PVC Sheath 1m, 50 Ω, 3.58mm OD",Each,"PHP1,192.32",RG402,3.58mm,50 Ω,1m,-,Polyvinyl Chloride PVC,PTFE,Silver Plated Copper Clad Steel,Solid,1/0.9,1,0.909 mm,X,0.36 dB/1m @ 1GHz
"TE Connectivity Black RG178 Coaxial Cable, Low Smoke Zero Halogen (LSZH) Sheath 100m, 50 Ω, 1.8mm OD",1 Reel of 100 Metre(s),"PHP10,222.07",RG178,1.8mm,50 Ω,100m,Black,Low Smoke Zero Halogen (LSZH),Rayfoam,Silver Plated Copper Clad Steel,Stranded,7/38,7,38 AWG,N,"15 dB/100m @ 10MHz, 49 dB/100m @ 100MHz, 164 dB/100m @ 1GHz"
"Belden Black RG59/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 152m, 75 Ω, 5.89mm OD",1 Reel of 152 Metre(s),"PHP9,387.54",RG59/U,5.89mm,75 Ω,152m,Black,Polyvinyl Chloride PVC,Foam PE,Bare Copper,Solid,1/20,1,20 AWG,-,"5 dB/100ft @ 400MHz, 7 dB/100ft @ 700MHz, 8 dB/100ft @ 900MHz, 8.5 dB/100ft @ 1GHz"
"RS Pro Black RF Coaxial Cable, , 50 Ω",Each,PHP397.76,RF,-,50 Ω,-,Black,-,-,-,-,-,-,-,-,-
"RS Pro Black RG223/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 50 Ω, 5.4mm OD",1 Reel of 100 Metre(s),"PHP11,879.83",RG223/U,5.4mm,50 Ω,100m,Black,Polyvinyl Chloride PVC,Solid PE,Silver Plated Copper,Solid,1/0.9,1,0.89 mm,C,"7 dB/100m @ 30 MHz, 19 dB/100m @ 200 MHz, 30 dB/100m @ 500 MHz, 42 dB/100m @ 1 GHz, 76 dB/100m @ 3 GHz"
"RS Pro Black RG6 Coaxial Cable, Polyvinyl Chloride PVC Sheath 250m, 75 Ω, 4.85mm OD",1 Reel of 250 Metre(s),"PHP7,671.52",RG6,4.85mm,75 Ω,250m,Black,Polyvinyl Chloride PVC,FPE,Copper Clad Steel,-,2/0.65,2,0.65 mm,-,-
"RS Pro Black RG213B/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 50 Ω, 10.3mm OD",1 Reel of 100 Metre(s),"PHP11,243.10",RG213B/U,10.3mm,50 Ω,100m,Black,Polyvinyl Chloride PVC,-,-,-,-,-,-,T,-
"RS Pro White Twin RG6 Coaxial Cable, Polyvinyl Chloride PVC Sheath 250m, 10.7mm OD",1 Reel of 250 Metre(s),"PHP8,248.04",Twin RG6,10.7mm,-,250m,White,Polyvinyl Chloride PVC,FPE,Copper Clad Steel,-,2/0.65,2,0.65 mm,-,-
"RS Pro Brown RG6 Coaxial Cable, Polyvinyl Chloride PVC Sheath 250m, 75 Ω, 6.5mm OD",1 Reel of 250 Metre(s),"PHP3,711.61",RG6,6.5mm,75 Ω,250m,Brown,Polyvinyl Chloride PVC,FPE,Copper Clad Steel,Solid,1/1,1,1 mm,-,5.2 dB/100m @ 100 MHz
"Times Microwave RG405/U Coaxial Cable, Aluminium Sheath 3m, 50 Ω, 2.2mm OD",1 Reel of 3 Metre(s),"PHP2,344.53",RG405/U,2.2mm,50 Ω,3m,-,Aluminium,PTFE,Silver Plated Copper,Solid,1/0.51 mm,1,0.51 mm,-,-
"Van Damme Blue RG59/U, RG6/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 3.10 mm ± 0.15 OD",1 Reel of 100 Metre(s),"PHP6,460.68","RG59/U, RG6/U",3.10 mm ± 0.15,75 Ω,100m,Blue,Polyvinyl Chloride PVC,PE,Copper,Solid,1/0.4,1,0.10 mm,-,"47.98 dB/100m MHz @ 743, 63.70 dB/100m MHz @ 1485"
"Alpha Wire Black RG174/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 30m, 50 Ω, 2.59mm OD",1 Reel of 30 Metre(s),"PHP1,755.31",RG174/U,2.59mm,50 Ω,30m,Black,Polyvinyl Chloride PVC,PE,Bare Copper,Stranded,7/34,7,34 AWG,-,"6 dB/100ft @ 50MHz, 48 dB/100ft @ 1GHz"
