name,pack,price,coaxial_type,outer_diameter,characteristic_impedance,reel_length,sheath_color,sheath_material,insulation_material,conductor_material,conductor_strand_type,core_strands,number_of_strands,size_of_strands,connector_type,attenuation
"Belden Black RG59/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 152m, 75 Ω, 6.12mm OD",1 Reel of 152 Metre(s),"PHP27,577.42",RG59/U,6.12mm,75 Ω,152m,Black,Polyvinyl Chloride PVC,Foam PE,Bare Copper,Stranded,7/30,7,30 AWG,-,"6.6 dB/100ft @ 400MHz, 8.9 dB/100ft @ 700MHz, 10.1 dB/100ft @ 900MHz, 10.9 dB/100ft @ 1GHz"
"Quadrant Connectors Brown RG316/D Coaxial Cable, FEP Sheath 25m, 50 Ω, 2.9mm OD",1 Reel of 25 Metre(s),"PHP5,674.82",RG316/D,2.9mm,50 Ω,25m,Brown,FEP,PTFE,Silver Plated Steel,Stranded,7/0.17,7,0.17 mm,-,"37 dB/100m @ 100MHz, 47 dB/100m @ 200MHz, 102 dB/100m @ 1GHz"
"Van Damme Black RG59 Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 6.15mm OD",1 Reel of 100 Metre(s),"PHP8,882.53",RG59,6.15mm,75 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Bare Copper,Stranded,7/0.2,7,0.2 mm,F,"17.42 dB/100m @ 180MHz, 18.36 dB/100m @ 200MHz, 28.11 dB/100m @ 400MHz, 38.31 dB/100m @ 743MHz"
"Belden Grey RG6/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 152m, 75 Ω, 6.76mm OD",1 Reel of 152 Metre(s),"PHP11,820.86",RG6/U,6.76mm,75 Ω,152m,Grey,Polyvinyl Chloride PVC,Foam PE,Bare Copper,Solid,1/18,1,18 AWG,-,"4.2 dB/100ft @ 400MHz, 5.6 dB/100ft @ 700MHz, 6.4 dB/100ft @ 900MHz, 7 dB/100ft @ 1GHz"
"RS Pro White Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 5.1mm OD",1 Reel of 100 Metre(s),"PHP5,750.30",-,5.1mm,75 Ω,100m,White,Polyvinyl Chloride PVC,Foam PE,Copper,Solid,7/0.2,1,0.2 mm,-,"1.87 dB/100m @ 1 MHz, 3.61 dB/100m @ 4 MHz, 6.88 dB/100m @ 17 MHz, 11.66 dB/100m @ 69 MHz, 12.1 dB/100m @ 78 MHz"
"Quadrant Connectors Brown RG316/D Coaxial Cable, FEP Sheath 100m, 50 Ω, 2.9mm OD",1 Reel of 100 Metre(s),"PHP21,213.92",RG316/D,2.9mm,50 Ω,100m,Brown,FEP,PTFE,Silver Plated Steel,Stranded,7/0.17,7,0.17 mm,-,"37 dB/100m @ 100MHz, 47 dB/100m @ 200MHz, 102 dB/100m @ 1GHz"
"Belden Blue RG6/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 152m, 75 Ω, 7.57mm OD",1 Reel of 152 Metre(s),"PHP27,893.64",RG6/U,7.57mm,75 Ω,152m,Blue,Polyvinyl Chloride PVC,Foam PE,Bare Copper Clad Steel,Solid,1/18,1,18 AWG,-,"1.97 dB/100ft @ 100MHz, 2.82 dB/100ft @ 200MHz, 3.48 dB/100ft @ 300MHz, 4.04 dB/100ft @ 400MHz"
"RS Pro White RG58 Coaxial Cable, Polyvinyl Chloride PVC Sheath 500m, 50 Ω, 4.95mm OD",1 Reel of 500 Metre(s),"PHP25,078.16",RG58,4.95mm,50 Ω,500m,White,Polyvinyl Chloride PVC,PE,Tinned Copper,Stranded,19/33,19,33 AWG,A,"37.7 dB/100m @ 400MHz, 55.8 dB/100m @ 700MHz, 65.6 dB/100m @ 900MHz, 70.5 dB/100m @ 1GHz"
"Belden Grey RG59 Coaxial Cable, Low Smoke Zero Halogen (LSZH) Sheath 100m, 75 Ω, 5.9mm OD",1 Reel of 100 Metre(s),"PHP7,096.88",RG59,5.9mm,75 Ω,100m,Grey,Low Smoke Zero Halogen (LSZH),Foam PE,Bare Copper,Solid,1/20,1,20 AWG,-,"16.4 dB/100m @ 400MHz, 23 dB/100m @ 700MHz, 26.2 dB/100m @ 900MHz, 27.9 dB/100m @ 1GHz"
"RS Pro Black Coaxial Cable, , 50 Ω",Each,PHP582.23,-,-,50 Ω,-,Black,-,PTFE,Brass,-,-,-,-,-,-
"Belden Black RG6/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 152m, 75 Ω, 6.86mm OD",1 Reel of 152 Metre(s),"PHP18,989.74",RG6/U,6.86mm,75 Ω,152m,Black,Polyvinyl Chloride PVC,Foam HDPE,Bare Copper,Solid,1/18,1,18 AWG,L,"5.3 dB/100ft @ 700MHz, 6.1 dB/100ft @ 900MHz, 6.5 dB/100ft @ 1GHz, 8.3 dB/100ft @ 1500MHz"
"RS Pro Brown RG178B/U Coaxial Cable, FEP Sheath 100m, 50 Ω, 1.83mm OD",1 Reel of 100 Metre(s),"PHP10,049.59",RG178B/U,1.83mm,50 Ω,100m,Brown,FEP,PTFE,Silver Plated Copper Clad Steel,Stranded,7/0.1,7,0.102 mm,N,"47.57 dB/100m @ 100MHz, 95.76 dB/100m @ 400MHz, 152.99 dB/100m @ 1GHz, 270.06 dB/100m @ 3GHz"
"Alpha Wire Black RG6/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 30m, 75 Ω, 7.57mm OD",1 Reel of 30 Metre(s),"PHP4,503.70",RG6/U,7.57mm,75 Ω,30m,Black,Polyvinyl Chloride PVC,Foam PE,Bare Copper,Solid,-,-,-,-,"1.1 dB/100m @ 1MHz, 1.2 dB/100m @ 2MHz, 1.5 dB/100m @ 5MHz, 1.9 dB/100m @ 10MHz, 2.8 dB/100m @ 20MHz, 4.5 dB/100m @ 50MHz, 6.5 dB/100m @ 100MHz, 9.3 dB/100m @ 200MHz, 11.4 dB/100m @ 300MHz, 13.3 dB/100m @ 400MHz"
"Belden Black RG59 Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 4.15mm OD",1 Reel of 100 Metre(s),"PHP8,548.86",RG59,4.15mm,75 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Bare Copper Clad Steel,Solid,1/23,1,23 AWG,M,"23 dB/100m @ 400MHz, 31.8 dB/100m @ 700MHz, 36.4 dB/100m @ 900MHz, 39.4 dB/100m @ 1GHz"
"Belden Green RG59/U Coaxial Cable, Flame Retardant Non-Corrosive (FRNC), Low Smoke Zero Halogen (LSZH) Sheath, 75 Ω",1 Reel of 100 Metre(s),"PHP11,186.68",RG59/U,4.45mm,75 Ω,-,Green,"Flame Retardant Non-Corrosive (FRNC), Low Smoke Zero Halogen (LSZH)",LDPE,Copper,Solid,-,-,-,-,70.2 dB/100 m @ 4500 MHz
"CAE Groupe Coaxial Cable,",1 Reel of 100 Metre(s),"PHP16,623.30",RG213/U,10.3mm,50 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Bare Copper,Stranded,7/0.75 mm,7,0.75 mm,N,"9.7 dB/100m @ 200MHz, 14.7 dB/100m @ 400MHz, 22.9 dB/100m @ 800MHz, 26.7 dB/100m @ 1GHz"
"Times Microwave RG405 Coaxial Cable, Aluminium Sheath 1m, 50 Ω, 2.2mm OD",1 Reel of 1 Metre(s),"PHP1,461.68",RG405,2.2mm,50 Ω,1m,-,Aluminium,PTFE,-,-,-,-,-,-,-
"RS Pro Black RG62A/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 93 Ω, 6.15mm OD",1 Reel of 100 Metre(s),"PHP7,433.75",RG62A/U,6.15mm,93 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Copper Clad Steel,Solid,1/0.64,1,0.64 mm,F,"1.12 dB/10m @ 200MHz, 1.3 dB/10m @ 100MHz, 2.58 dB/10m @ 1GHz"
